AssessmentGroup,Campaign,Phase,Variant,MitreID,CapecId,Method,Status,Outcome,Outcome Path,Alert Severity,Alert Triggered,Activity Logged,Outcome Notes,Detection Recommendations,SourceIps,TargetAssets,ExpectedDetectionLayers,DetectingTools,Start Time,Start Time Epoch,Stop Time,Stop Time Epoch,Detection Time,Detection Time Epoch,Organizations,Tags,Objective,Command,References,Liklihood,Risk,Internal/External,Stealth,Attack Vector,Attack Complexity,Privileges Required,Attacker Tools
hack,New adversary,Discovery,Identify active user,T1033,,System Owner/User Discovery,Completed,Detected,,TBD,TBD,TBD,kali,"`System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Active Directory: Active Directory Object Access, Process: OS API Execution, Command: Command Execution, Network Traffic: Network Traffic Content, Process: Process Creation, Network Traffic: Network Traffic Flow, Windows Registry: Windows Registry Key Access, File: File Access, Process: Process Access",,,,,2025-03-23T16:08:20Z,1742746100,2025-03-23T16:08:45Z,1742746125,2025-03-23T16:08:45Z,1742746125,Internal,linux,Identify active user,whoami,https://attack.mitre.org/techniques/T1033,,,Internal,,sh,,193903,
hack,New adversary,Discovery,Find local users,T1087.001,,Account Discovery: Local Account,Completed,Detected,,TBD,TBD,TBD,rootdaemonbinsyssyncgamesmanlpmailnewsuucpproxywww-databackuplistircnobodysystemd-networkdhcpcdsystemd-timesyncmessagebustssstrongswantcpdumpsshddnsmasqavahinm-openvpnspeech-dispatcherusbmuxnm-openconnectpulselightdmsanedpolkitdrtkitcolordmysqlstunnel4geoclueDebian-snmpsslhcups-pk-helperredsocksiodinemiredostatdredispostgresmosquittoinetsimkali,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

Monitor for processes that can be used to enumerate user accounts, such as `net.exe` and `net1.exe`, especially when executed in quick succession.(Citation: Elastic - Koadiac Detection with EQL)
Monitor these data sources: Process: OS API Execution, Group: Group Enumeration, Process: Process Creation, Command: Command Execution, File: File Access",,,,,2025-03-23T16:08:45Z,1742746125,2025-03-23T16:09:22Z,1742746162,2025-03-23T16:09:22Z,1742746162,Internal,linux,Find local users,cut -d: -f1 /etc/passwd | grep -v '_' | grep -v '#',https://attack.mitre.org/techniques/T1087/001,,,Internal,,sh,,194255,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      194579  0.0  0.0   2676  1712 pts/3    S+   12:10   0:00 sh -c ps aux | grep inetsimkali      194581  0.0  0.0   6520  2216 pts/3    S+   12:10   0:00 grep inetsim,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:09:25Z,1742746165,2025-03-23T16:10:01Z,1742746201,2025-03-23T16:10:01Z,1742746201,Internal,linux,Find user processes,ps aux | grep inetsim,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,194579,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      195048  0.0  0.0   2676  1512 pts/3    S+   12:10   0:00 sh -c ps aux | grep mosquittokali      195050  0.0  0.0   6520  2284 pts/3    S+   12:10   0:00 grep mosquitto,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:10:05Z,1742746205,2025-03-23T16:10:56Z,1742746256,2025-03-23T16:10:56Z,1742746256,Internal,linux,Find user processes,ps aux | grep mosquitto,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,195048,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      195508  0.0  0.0   2676  1712 pts/3    S+   12:11   0:00 sh -c ps aux | grep postgreskali      195510  0.0  0.0   6520  2280 pts/3    S+   12:11   0:00 grep postgres,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:11:00Z,1742746260,2025-03-23T16:11:50Z,1742746310,2025-03-23T16:11:50Z,1742746310,Internal,linux,Find user processes,ps aux | grep postgres,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,195508,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      195874  0.0  0.0   2676  1504 pts/3    S+   12:12   0:00 sh -c ps aux | grep rediskali      195876  0.0  0.0   6520  2288 pts/3    S+   12:12   0:00 grep redis,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:11:50Z,1742746310,2025-03-23T16:12:33Z,1742746353,2025-03-23T16:12:33Z,1742746353,Internal,linux,Find user processes,ps aux | grep redis,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,195874,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      196261  0.0  0.0   2676  1512 pts/3    S+   12:13   0:00 sh -c ps aux | grep statdkali      196263  0.0  0.0   6520  2212 pts/3    S+   12:13   0:00 grep statd,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:12:35Z,1742746355,2025-03-23T16:13:20Z,1742746400,2025-03-23T16:13:20Z,1742746400,Internal,linux,Find user processes,ps aux | grep statd,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,196261,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      196575  0.0  0.0   2676  1712 pts/3    S+   12:13   0:00 sh -c ps aux | grep miredokali      196577  0.0  0.0   6520  2216 pts/3    S+   12:13   0:00 grep miredo,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:13:25Z,1742746405,2025-03-23T16:13:58Z,1742746438,2025-03-23T16:13:58Z,1742746438,Internal,linux,Find user processes,ps aux | grep miredo,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,196575,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      197017  0.0  0.0   2676  1552 pts/3    S+   12:14   0:00 sh -c ps aux | grep iodinekali      197019  0.0  0.0   6520  2196 pts/3    S+   12:14   0:00 grep iodine,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:14:00Z,1742746440,2025-03-23T16:14:52Z,1742746492,2025-03-23T16:14:52Z,1742746492,Internal,linux,Find user processes,ps aux | grep iodine,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,197017,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      197361  0.0  0.0   2676  1628 pts/3    S+   12:15   0:00 sh -c ps aux | grep redsockskali      197363  0.0  0.0   6520  2268 pts/3    S+   12:15   0:00 grep redsocks,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:14:55Z,1742746495,2025-03-23T16:15:34Z,1742746534,2025-03-23T16:15:34Z,1742746534,Internal,linux,Find user processes,ps aux | grep redsocks,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,197361,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      197736  0.0  0.0   2676  1512 pts/3    S+   12:16   0:00 sh -c ps aux | grep cups-pk-helperkali      197738  0.0  0.0   6520  2288 pts/3    S+   12:16   0:00 grep cups-pk-helper,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:15:35Z,1742746535,2025-03-23T16:16:19Z,1742746579,2025-03-23T16:16:19Z,1742746579,Internal,linux,Find user processes,ps aux | grep cups-pk-helper,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,197736,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      197981  0.0  0.0   2676  1716 pts/3    S+   12:16   0:00 sh -c ps aux | grep sslhkali      197983  0.0  0.0   6520  2192 pts/3    S+   12:16   0:00 grep sslh,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:16:21Z,1742746581,2025-03-23T16:16:49Z,1742746609,2025-03-23T16:16:49Z,1742746609,Internal,linux,Find user processes,ps aux | grep sslh,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,197981,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      198478  0.0  0.0   2676  1552 pts/3    S+   12:17   0:00 sh -c ps aux | grep Debian-snmpkali      198480  0.0  0.0   6520  2216 pts/3    S+   12:17   0:00 grep Debian-snmp,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:16:51Z,1742746611,2025-03-23T16:17:49Z,1742746669,2025-03-23T16:17:49Z,1742746669,Internal,linux,Find user processes,ps aux | grep Debian-snmp,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,198478,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali        1531  0.0  0.0 308448  6464 ?        Sl   07:50   0:00 /usr/libexec/geoclue-2.0/demos/agentkali      198754  0.0  0.0   2676  1692 pts/3    S+   12:18   0:00 sh -c ps aux | grep geocluekali      198756  0.0  0.0   6520  2272 pts/3    S+   12:18   0:00 grep geoclue,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:17:51Z,1742746671,2025-03-23T16:18:22Z,1742746702,2025-03-23T16:18:22Z,1742746702,Internal,linux,Find user processes,ps aux | grep geoclue,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,198754,
hack,New adversary,Discovery,Find user processes,T1057,,Process Discovery,Completed,Detected,,TBD,TBD,TBD,kali      199159  0.0  0.0   2676  1548 pts/3    S+   12:19   0:00 sh -c ps aux | grep stunnel4kali      199161  0.0  0.0   6520  2296 pts/3    S+   12:19   0:00 grep stunnel4,"System and network discovery techniques normally occur throughout an operation as an adversary learns the environment. Data and events should not be viewed in isolation, but as part of a chain of behavior that could lead to other activities, such as Lateral Movement, based on the information obtained.

Normal, benign system and network events that look like process discovery may be uncommon, depending on the environment and how they are used. Monitor processes and command-line arguments for actions that could be taken to gather system and network information. Remote access tools with built-in features may interact directly with the Windows API to gather information. Information may also be acquired through Windows system management tools such as [Windows Management Instrumentation](T1047) and [PowerShell](T1059.001).

For network infrastructure devices, collect AAA logging to monitor for `show` commands being run by non-standard users from non-standard locations.
Monitor these data sources: Process: Process Creation, Process: OS API Execution, Command: Command Execution",,,,,2025-03-23T16:18:26Z,1742746706,2025-03-23T16:19:07Z,1742746747,2025-03-23T16:19:07Z,1742746747,Internal,linux,Find user processes,ps aux | grep stunnel4,https://attack.mitre.org/techniques/T1057,,,Internal,,sh,,199159,
